,TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude,species,sites
8420,26666,Ficus nitida :: Laurel Fig,1015 Lake St,Sidewalk: Curb side : Cutout,40.0,3X3,37.78627810348571,-122.47040431482401,Ficus,Sidewalk
8421,13690,Platanus x hispanica :: Sycamore: London Plane,720 Market St,Sidewalk: Curb side : Cutout,40.0,4x4,37.7873382151329,-122.404015286177,Platanus,Sidewalk
8422,13828,Platanus x hispanica :: Sycamore: London Plane,965 Market St,Sidewalk: Curb side : Cutout,50.0,4X4,37.782789274188794,-122.409387495448,Platanus,Sidewalk
8423,13086,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,710 Lombard St,Sidewalk: Curb side : Cutout,3.0,3X3,37.8029124483908,-122.413242294464,Prunus,Sidewalk
8424,12571,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,340 Lake St,Sidewalk: Curb side : Cutout,3.0,2X2,37.7868683042504,-122.46312306923099,Prunus,Sidewalk
8425,14137,Platanus x hispanica :: Sycamore: London Plane,1655 Market St,Sidewalk: Curb side : Cutout,12.0,4X4,37.773333447999896,-122.42135087850599,Platanus,Sidewalk
8426,4927,Pittosporum undulatum :: Victorian Box,11 Dedman Ct,Sidewalk: Curb side : Cutout,12.0,3X4,37.7368257796139,-122.38568450297599,Pittosporum,Sidewalk
8427,85580,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1458 Palou Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.7325244779387,-122.38822185678002,Magnolia,Sidewalk
8428,5826,Platanus x hispanica :: Sycamore: London Plane,805X Eddy St,Sidewalk: Curb side : Cutout,12.0,4X4,37.7828120015177,-122.420916227432,Platanus,Sidewalk
8429,112441,Pinus radiata :: Monterey Pine,2199x 25TH ST,Sidewalk: Property side : Yard,30.0,3x3,37.752000229136705,-122.399621792735,Pinus,Sidewalk
8430,91989,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1369 09th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.7627636303371,-122.466290964862,Prunus,Sidewalk
8431,85737,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,843 Howard St,Sidewalk: Curb side : Cutout,3.0,3x3,37.782458608165896,-122.40362250946998,Magnolia,Sidewalk
8432,12582,Corymbia ficifolia :: Red Flowering Gum,436 Lake St,Sidewalk: Curb side : Cutout,17.0,3X3,37.7867731461001,-122.464349485012,Corymbia,Sidewalk
8433,89708,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1909 Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.77881215056829,-122.468773668914,Tristaniopsis,Sidewalk
8434,327,Lophostemon confertus :: Brisbane Box,3470X 19th Ave,Sidewalk: Curb side : Cutout,3.0,2,37.725049260991604,-122.474754004974,Lophostemon,Sidewalk
8435,7766,Liriodendron tulipifera :: Tulip Tree,325X Fulton St,Sidewalk: Curb side : Cutout,12.0,3X3,37.7788345313197,-122.42212372172101,Liriodendron,Sidewalk
8436,102435,Washingtonia filifera :: California Fan Palm,1001 Howard St,Sidewalk: Curb side : Cutout,,4x4,37.77976171638,-122.40720173555799,Washingtonia,Sidewalk
8437,18035,Ficus nitida :: Laurel Fig,2807 Pine St,Sidewalk: Curb side : Cutout,12.0,3X3,37.786814236904505,-122.442045513134,Ficus,Sidewalk
8438,86101,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2600X 24th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.7390357226089,-122.48071374038,Prunus,Sidewalk
8439,121405,Pinus radiata :: Monterey Pine,10X Dorchester Way,Median : Cutout,3.0,8x30,37.740837698438895,-122.463080674317,Pinus,Median 
8440,91133,Metrosideros excelsa :: New Zealand Xmas Tree,400X Trumbull St,Median : Cutout,3.0,3x3,37.730780298312,-122.42247641656401,Metrosideros,Median 
8441,11413,Lophostemon confertus :: Brisbane Box,1485 Innes Ave,Sidewalk: Curb side : Cutout,12.0,3x4,37.738119103003996,-122.386808395126,Lophostemon,Sidewalk
8442,4264,Cedrus deodara :: Deodar Cedar,4175 Cesar Chavez St,Sidewalk: Curb side : Cutout,8.0,3X3,37.7472550893281,-122.433241415923,Cedrus,Sidewalk
8443,121151,Pinus radiata :: Monterey Pine,1X Payson St,Side Yard : Yard,25.0,3x3,37.7121370380572,-122.469355880776,Pinus,Side Yard 
8444,7604,Ulmus parvifolia :: Chinese Elm,3135 Folsom St,Sidewalk: Curb side : Cutout,24.0,3X3,37.7476805460435,-122.41352751146799,Ulmus,Sidewalk
8445,89424,Laurus nobilis :: Sweet Bay: Grecian Laurel,2444 Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.778694549794295,-122.47467472179501,Laurus,Sidewalk
8446,96144,Tree(s) ::,1484X Innes Ave,Median : Yard,12.0,,37.7383043442369,-122.386629906827,Tree(s),Median 
8447,89613,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',4127 Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.777730750542,-122.49259014689,Tristaniopsis,Sidewalk
8448,89581,Tristaniopsis laurina :: Swamp Myrtle,4701X Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.77743979845,-122.498953397347,Tristaniopsis,Sidewalk
8449,12326,Ligustrum lucidum :: Glossy Privet,1025 LAGUNA ST,Sidewalk: Curb side : Cutout,9.0,4X4,37.780549550881204,-122.428174475606,Ligustrum,Sidewalk
8450,86542,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1731 27th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.755133479572294,-122.485203532524,Prunus,Sidewalk
8451,90376,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',201 Balboa St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7773240182898,-122.460824557776,Tristaniopsis,Sidewalk
8452,17780,Olea europaea :: Olive Tree,1791 Pine St,Sidewalk: Curb side : Cutout,12.0,3x3,37.7889492101001,-122.42523349879801,Olea,Sidewalk
8453,632,Ficus nitida :: Laurel Fig,3179 24th St,Sidewalk: Curb side : Cutout,18.0,3x3,37.7522404437102,-122.415753894425,Ficus,Sidewalk
8454,12616,Pittosporum undulatum :: Victorian Box,752 Lake St,Sidewalk: Curb side : Cutout,25.0,3X3,37.786618272107205,-122.467683468108,Pittosporum,Sidewalk
8455,85597,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1101 Palou Ave,Sidewalk: Curb side : Cutout,6.0,3x3,37.728665096277204,-122.381660625783,Magnolia,Sidewalk
8456,90705,Lagunaria patersonii :: Primrose Tree,4320 Cabrillo St,Sidewalk: Curb side : Cutout,3.0,3x3,37.773563978190495,-122.505169810987,Lagunaria,Sidewalk
8457,10524,Metrosideros excelsa :: New Zealand Xmas Tree,549X Mansell St,Sidewalk: Curb side : Cutout,12.0,3x3,37.719930795024794,-122.406479548712,Metrosideros,Sidewalk
8458,103325,Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford,200 Divisadero St,Sidewalk: Curb side : Cutout,,3x3,37.7703324520775,-122.436799199856,Pyrus,Sidewalk
8459,93238,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,600X Church St,Sidewalk: Curb side : Cutout,3.0,3x3,37.761088789181,-122.428521561971,Magnolia,Sidewalk
8460,18869,Acacia melanoxylon :: Blackwood Acacia,2261 Sacramento St,Sidewalk: Curb side : Cutout,18.0,3X3,37.790271093399504,-122.430074320134,Acacia,Sidewalk
8461,22818,Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford,60 Turquoise Way,Sidewalk: Curb side : Cutout,3.0,3X3,37.745477066338,-122.446498092976,Pyrus,Sidewalk
8462,21652,Ficus nitida :: Laurel Fig,1697 Sutter St,Sidewalk: Curb side : Cutout,12.0,4X4,37.7866551936091,-122.42824050000799,Ficus,Sidewalk
8463,2749,Schinus terebinthifolius :: Brazilian Pepper,59 Cabrillo St,Sidewalk: Curb side : Cutout,12.0,3X3,37.7754194179801,-122.459282185974,Schinus,Sidewalk
8464,7236,Ficus nitida :: Laurel Fig,1065 Fillmore St,Sidewalk: Curb side : Cutout,12.0,4X4,37.7792487944095,-122.431978523544,Ficus,Sidewalk
8465,20584,Metrosideros excelsa :: New Zealand Xmas Tree,1400X Sunset Blvd,Sidewalk: Curb side : Cutout,12.0,10,37.760789698444704,-122.495786675614,Metrosideros,Sidewalk
8466,12826,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2212 Lake St,Sidewalk: Curb side : Cutout,3.0,3X3,37.785911071486396,-122.48323678034299,Prunus,Sidewalk
8467,27306,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,4419 California St,Sidewalk: Curb side : Cutout,25.0,3X3,37.7845469027899,-122.464865833974,Platanus,Sidewalk
8468,90450,Olea europaea :: Olive Tree,854 25th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.773377469467796,-122.48416140549801,Olea,Sidewalk
8469,90757,Agonis flexuosa :: Peppermint Willow,4101X Cabrillo St,Sidewalk: Curb side : Cutout,3.0,3x3,37.773513208010996,-122.502963347401,Agonis,Sidewalk
8470,13343,Arbutus 'Marina' :: Hybrid Strawberry Tree,330X Mansell St,Sidewalk: Curb side : Cutout,6.0,3x3,37.7208701436228,-122.404370269004,Arbutus,Sidewalk
8471,7273,Ficus nitida :: Laurel Fig,1801 Fillmore St,Sidewalk: Curb side : Cutout,12.0,4X4,37.7862566549301,-122.43341816220699,Ficus,Sidewalk
8472,119721,Populus nigra 'Italica' :: Lombardy Poplar,104x Octavia St,Median : Cutout,,,47.269987373868105,-138.2836696503,Populus,Median 
8473,89098,Laurus nobilis :: Sweet Bay: Grecian Laurel,567 18th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.7772789804391,-122.477090741641,Laurus,Sidewalk
8474,89580,Tristaniopsis laurina :: Swamp Myrtle,4733 Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7774292709074,-122.499151086884,Tristaniopsis,Sidewalk
8475,90704,Agonis flexuosa :: Peppermint Willow,4226 Cabrillo St,Sidewalk: Curb side : Cutout,3.0,3x3,37.773595421125,-122.503911988256,Agonis,Sidewalk
8476,4455,Ficus nitida :: Laurel Fig,1404 Church St,Sidewalk: Curb side : Cutout,70.0,3X3,37.7482893665971,-122.42723509655899,Ficus,Sidewalk
8477,8171,Metrosideros excelsa :: New Zealand Xmas Tree,1198 Fulton St,Sidewalk: Curb side : Cutout,60.0,3X3,37.7772003606672,-122.436352665303,Metrosideros,Sidewalk
8478,90477,Pyrus calleryana :: Ornamental Pear,334 25th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.7832274207041,-122.48487126320299,Pyrus,Sidewalk
8479,89668,Laurus nobilis :: Sweet Bay: Grecian Laurel,2701 Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.778419030136,-122.477483741104,Laurus,Sidewalk
8480,10543,Lophostemon confertus :: Brisbane Box,162 Harbor Rd,Sidewalk: Curb side : Cutout,12.0,3X4,37.7324997581179,-122.37834216075899,Lophostemon,Sidewalk
8481,26231,Tristaniopsis laurina :: Swamp Myrtle,705 San Jose Ave,Sidewalk: Curb side : Cutout,9.0,3X3,37.7438063794529,-122.42255712982201,Tristaniopsis,Sidewalk
